# The Faith Received — author denominations
#
# name <TAB> body <TAB> party <TAB> confidence <TAB> note
#
# BODY    the church he belonged to. One of: Anglican, Presbyterian,
#         Congregational, Baptist, Quaker, Continental Reformed,
#         Lutheran, Anabaptist, Arminian, Bohemian Brethren,
#         Waldensian, Socinian, Roman Catholic, Eastern Orthodox.
# PARTY   Puritan or Conformist, or blank. Cuts across the bodies.
# CONF    h  certain — a man whose church is not in question
#         m  confident — the standard account, held without hedging
#         l  inferred — from his associations, his printers, his dates
#                and what he wrote, not from a settled biography.
#            Read these as a first pass that wants checking.
#
# Either column may be blank, but not both. A man whose body is genuinely
# contested gets his party and no body, which is truer than a guess:
# John Lilburne wrote as a Leveller, was gathered with Separatists and
# died a Quaker, and filing him under any one of them misstates the
# other two.
#
# The name is matched on the key in assets/js/faith-denominations.js:
# life dates and cataloguers' apparatus stripped, surname-first names
# put back in reading order. So one line covers "Owen, John, 1616-1683"
# in Early English Books and "John Owen" in the Latin Library.
#
# A NOTE ON "ANGLICAN". It means the established Church of England,
# and carries no party with it. William Perkins was a beneficed
# clergyman of that church and is filed as one; his Puritan party says
# the rest. Only a man who actually left — to a gathered church, a
# presbytery, a meeting — takes a different body.

# ── The establishment ─────────────────────────────────────────────
Bibliander, Theodorus, ca. 1504-1564	Continental Reformed		h	Zurich
Vergerio, Pietro Paolo, 1498-1565	Continental Reformed		h	A bishop who left Rome
Mainardi, Agostino, 1487-1563	Continental Reformed		h	Italian exile at Chiavenna
Micronius, Marten, d. 1559	Continental Reformed		h	The Dutch stranger church in London
Des Gallars, Nicolas, ca. 1520-ca. 1580	Continental Reformed		h	Calvin's colleague; the French church in London
Curione, Celio Secondo, 1503-1569	Continental Reformed		h	Italian exile at Basel
Montenay, Georgette de, 1540-ca. 1581	Continental Reformed		h	Huguenot
Bomelius, Henricus, 1500?-1570	Continental Reformed		m
Brunfels, Otto, 1488-1534	Continental Reformed		m
Brunfels, Otto, 1488-1534. Precationes Biblicae	Continental Reformed		m	A catalogue variant of the same man
Marguerite, Queen, consort of Henry II, King of Navarre, 1492-1549	Continental Reformed		m	Evangelical, and never quite a Protestant
Heyden, Cornelius van der	Continental Reformed		m
DuVal, P. (Pierre)	Continental Reformed		m
Julius, of Milan	Continental Reformed		m	Giulio da Milano
[Giulio, da Milano]	Continental Reformed		m	A catalogue variant of the same man
Werdmüller, O.	Continental Reformed		h	A catalogue variant of Otto Werdmüller
Fabricius, Joannes, Montanus, 1527-1566	Continental Reformed		m
Grifoni, Giovanni Andrea	Continental Reformed		m
Noot, Jan van der, ca. 1538-ca. 1596	Continental Reformed		m

# ── The English Reformation and the Marian exile ──────────────────
Fox, Edward, 1496?-1538	Anglican		h	Bishop of Hereford; the Henrician case
Gest, Edmund	Anglican	Conformist	h	Edmund Guest, Bishop of Salisbury
Grindal, Edmund, 1519?-1583	Anglican	Puritan	h	Archbishop; sequestered for refusing to suppress prophesyings
Goodman, Christopher, 1520?-1603	Anglican	Puritan	h	Marian exile at Geneva
Horne, Robert, 1519?-1580	Anglican	Puritan	h	Bishop of Winchester; Marian exile. Not the man of 1565-1640
English Church (Geneva, Switzerland)	Anglican	Puritan	h	The Marian exile congregation
Whittingham, William, d. 1579, attrib. name	Anglican	Puritan	h	A catalogue variant of the same man
Scory, John, d. 1585	Anglican	Puritan	m	Marian exile; Bishop of Hereford
Philpot, John, 1516-1555	Anglican	Puritan	m	Burned at Smithfield
Saunders, Laurence, d. 1555, attributed author	Anglican	Puritan	m	Burned at Coventry
Pownall, Robert, 1520-1571	Anglican	Puritan	m	Marian exile
Old, John, fl. 1545-1555, attributed name. aut	Anglican	Puritan	m	A catalogue variant of the same man
Morwen, Peter	Anglican	Puritan	m
Brice, Thomas, d. 1570	Anglican	Puritan	m
Cole, Thomas, d. 1571	Anglican	Puritan	m	Not the Congregationalist of 1627?-1697
Calfhill, James, 1530?-1570	Anglican	Puritan	m
Barthlet, John	Anglican	Puritan	m
Gough, John, fl. 1561-1570	Anglican	Puritan	m
Matthew, Simon, d. 1541	Anglican		m	Henrician
Starkey, Thomas, d. 1538	Anglican		m	Henrician
Fyloll, Jasper	Anglican		m
Wyse, Nicholas	Anglican		m
Morison, Richard, Sir, d. 1556	Anglican		m	Lay Henrician
Fish, Simon, d. 1531. Supplicacyon for the beggers	Anglican		m	A catalogue variant of the same man
Hugh, William, d. 1549	Anglican		m
Catharine Parr, Queen, consort of Henry VIII, King of England, 1512-1548	Anglican		m
Cope, Anthony, Sir, d. 1551	Anglican		m	Lay
Gerrard, Philip	Anglican		m
Allen, Edmund, 1519?-1559	Anglican		m
Hall, Edward, d. 1547	Anglican		m	Lay chronicler
Lambert, John, d. 1538	Anglican		m	Burned 1538
Somerset, Edward Seymour, Duke of, 1506?-1552	Anglican		m	Lay; Lord Protector
Tyndale, William, d. 1536. Obedience of a Christian man	Anglican		m	A catalogue variant of the same man
Joye, George, d. 1553, attributed name. aut	Anglican		m	A catalogue variant of the same man
Baldwin, William, ca. 1518-1563?	Anglican		m	Lay
Wyatt, Thomas, Sir, 1503?-1542	Anglican		m	Lay
Becke, Edmund, 16th cent	Anglican		m
Redman, John, 1499-1551	Anglican		m
Grey, Jane, Lady, 1537-1554	Anglican		m
Lancaster, Thomas, d. 1583	Anglican		m	Archbishop of Armagh
Alley, William, 1510?-1570	Anglican	Conformist	m	Bishop of Exeter
Rush, Anthony, 1537-1577	Anglican	Conformist	m
Drant, Thomas, d. 1578?	Anglican	Conformist	m	Not the man of b. 1601 or 2
Goodale, John, attributed name. aut	Anglican		l
Grime, John	Anglican		l
Johnson, John, professor of holy divinite	Anglican		l
Some, Thomas, b. ca. 1510	Anglican		l
Burdet, Robert	Anglican		l	Lay
Harrison, James, fl. 1547	Anglican		l
Bancrafte, George, fl. 1548	Anglican		l
Bonner, Richard	Anglican		l
Broke, Thomas	Anglican		l
Moone, Peter	Anglican		l
Punt, William	Anglican		l
Ramsay, John, 1496?-1551	Anglican		l
Barrett, Henry, 16th cent	Anglican		l
Harrys, William	Anglican		l
Hurlestone, Randall. aut	Anglican		l
Brasier, Richard	Anglican		l
Coucheman, Giles	Anglican		l
Ruddoke, Thomas	Anglican		l
Wingfield, Henry	Anglican		l
Churchson, John	Anglican		l
Angel, John, fl. 1555	Anglican		l
Dorcastor, Nicholas	Anglican		l
Hall, John, b. 1529 or 30	Anglican		l
Wever, R.	Anglican		l
Heasse, Robert, d. 1594	Anglican		l
Pyrrye, C.	Anglican		l
Emsley, Dennis, attributed name. aut	Anglican		l
Bradford, John, serving-man	Anglican	Puritan	l	Not the Marian martyr
Lambert, John, Minister of Elham	Anglican	Puritan	l
Samuel, William, fl. 1551-1569	Anglican	Puritan	l
Edwardes, Roger	Anglican	Puritan	l
Wager, Lewis, fl. 1566	Anglican	Puritan	l
Fisher, Jasper, b. 1591	Anglican	Conformist	l
Langton, Christopher, 1521-1578	Anglican	Conformist	l	Lay physician
Tilney, Edmund, d. 1610, attributed author	Anglican	Conformist	l	Lay
Cuningham, William, b. 1531	Anglican	Conformist	l	Lay physician
Gale, Thomas, 1507-1587	Anglican	Conformist	l	Lay surgeon
Brooke, Arthur, d. 1563	Anglican	Conformist	l	Lay
Maplet, John, d. 1592	Anglican	Conformist	l
Fulwood, William	Anglican	Conformist	l	Lay
Awdelay, John, fl. 1559-1577	Anglican	Conformist	l	Lay printer
Partridge, John, fl. 1566-1573	Anglican	Conformist	l	Lay
Securis, John	Anglican	Conformist	l	Lay
Bernard, John, d. 1567?	Anglican	Conformist	l

# ── Scotland ──────────────────────────────────────────────────────
Hay, George, d. 1588	Presbyterian	Puritan	h	Church of Scotland
Norvell, Robert	Presbyterian	Puritan	l
Stewart, William, d. 1569	Presbyterian	Puritan	l

# ── Anabaptist ────────────────────────────────────────────────────
Champneys, John, fl. 1548	Anabaptist		m	Edwardian freewiller

# ══ Eleventh pass ═════════════════════════════════════════════════
# The Elizabethan one-work tail. Most of these men printed once and
# left no biography; where the only evidence is that an English
# clergyman was licensed to print in England, the body is the
# establishment and the confidence is `l`. A Puritan party is recorded
# only where something says so — a prophesying, a deprivation, a
# Geneva printer, an Admonition ally.

# ── Anglican, conforming ──────────────────────────────────────────
Haddon, Walter, 1516-1572	Anglican	Conformist	h	Lay civilian
Tooker, William, 1558?-1621	Anglican	Conformist	h
Lively, Edward, 1545?-1605	Anglican	Conformist	m	King James Bible translator
Alison, Richard, controversialist	Anglican	Conformist	m	Wrote against the Brownists
Chamberlaine, Bartholomew, 1545 or 6-1621	Anglican	Conformist	m
Turnbull, Richard, d. 1593	Anglican	Conformist	m
Case, John, d. 1600	Anglican	Conformist	m	Lay
Swinburne, Henry, 1560?-1623	Anglican	Conformist	m	Lay civilian
Chamber, John, 1546-1604	Anglican	Conformist	m
Rider, John, 1562-1632	Anglican	Conformist	m	Bishop of Killaloe
Savage, Francis, d. 1638	Anglican	Conformist	m	Left Rome
Sanford, John, 1564 or 5-1629	Anglican	Conformist	m
Thorne, William, 1568 or 9-1630	Anglican	Conformist	m
Kyffin, Edward	Anglican	Conformist	m	Welsh psalms
More, George, Sir, 1553?-1632	Anglican	Conformist	m	Lay
Hutton, Leonard	Anglican	Conformist	m
Jones, John, physician	Anglican	Conformist	l	Lay
Langham, William	Anglican	Conformist	l	Lay
Barker, Christopher, 1529-1599	Anglican	Conformist	l	Lay; Queen's Printer
Madox, Richard, 1546-1583	Anglican	Conformist	l
Averell, William	Anglican	Conformist	l	Lay
Barrough, Philip, fl. 1590	Anglican	Conformist	l	Lay
Heath, Thomas, astronomer	Anglican	Conformist	l	Lay
Hudson, John, M.A., Oxon	Anglican	Conformist	l
Peele, George, 1556-1596	Anglican	Conformist	l	Lay dramatist
Bostocke, Richard	Anglican	Conformist	l	Lay
Herbert, William, Sir, 1553?-1593	Anglican	Conformist	l	Lay
Whitney, Geffrey, 1548?-1601?	Anglican	Conformist	l	Lay
[Lightfoot, William]	Anglican	Conformist	l
Colfe, Isaac, 1558 or 9-1597	Anglican	Conformist	l
Harvey, John, 1564-1592	Anglican	Conformist	l	Lay
Kempe, William	Anglican	Conformist	l	Lay schoolmaster
Ocland, Christopher, d. 1590?	Anglican	Conformist	l	Lay
Pasquil, of England, Cavaliero	Anglican	Conformist	l	An anti-Martinist pen name
Tyrrell, Anthony, 1552-1610?	Anglican	Conformist	l	A priest who recanted, more than once
Daunce, Edward	Anglican	Conformist	l	Lay
Marlowe, Christopher, 1564-1593	Anglican	Conformist	l	Lay dramatist
Barwick, Humfrey	Anglican	Conformist	l	Lay
Manwood, John, d. 1610	Anglican	Conformist	l	Lay
Parker, John, 1534-1592	Anglican	Conformist	l
Powel, John, gent	Anglican	Conformist	l	Lay
Clement, Francis	Anglican	Conformist	l
Becon, Richard	Anglican	Conformist	l	Lay
Blundeville, Thomas, fl. 1561	Anglican	Conformist	l	Lay
Clerke, William, fl. 1595	Anglican	Conformist	l
Lyly, John, 1554?-1606	Anglican	Conformist	l	Lay dramatist
[Perry, Henry]	Anglican	Conformist	l	Welsh
Johnson, Richard, 1573-1659?	Anglican	Conformist	l	Lay
Lok, Henry	Anglican	Conformist	l	Lay poet
Morley, Thomas, 1557-1603?	Anglican	Conformist	l	Lay musician
Albott, Robert, fl. 1600	Anglican	Conformist	l	Lay
Alison, Richard, fl. 1588-1606	Anglican	Conformist	l	Lay musician
Cornwallis, William, Sir, d. 1631?	Anglican	Conformist	l	Lay
Floyd, Thomas, M.A., of Jesus College, Oxford	Anglican	Conformist	l
More, George	Anglican	Conformist	l
Roberts, Huw, b. 1558 or 9	Anglican	Conformist	l	Welsh
Yonger, William	Anglican	Conformist	l
Maxey, Edward, Gent	Anglican	Conformist	l	Lay
Byrchensha, Raph	Anglican	Conformist	l	Lay
Carew, Richard, 1555-1620	Anglican	Conformist	l	Lay
Higins, John, controversialist	Anglican	Conformist	l
Segar, William, Sir, d. 1633	Anglican	Conformist	l	Lay herald
Tyrer, Ralph, d. 1627	Anglican	Conformist	l
Jorden, Edward, 1569-1632	Anglican	Conformist	l	Lay physician
Knolles, Richard, 1550?-1610	Anglican	Conformist	l	Lay
Mavericke, Radford, b. 1561?	Anglican	Conformist	l	A catalogue variant of the same man
Barnfield, Richard, 1574-1627	Anglican	Conformist	l	Lay poet
Hill, William, Doctor in Divinity, attributed name	Anglican	Conformist	l
Hedlambe, John	Anglican		l
Pritchard, Thomas, fl. 1579	Anglican		l
Ramsay, Laurence	Anglican		l
Hergest, William	Anglican		l
Knight, Edward	Anglican		l
Record, Robert, 1510?-1558	Anglican		l	Lay
Yates, James, servingman	Anglican		l	Lay
Day, Thomas, fl. 1583	Anglican		l
Gee, Alexander	Anglican		l
Thorne, Henry, fl. 1567-1584	Anglican		l
Allin, Ralph	Anglican		l
Cotes, William, b. ca. 1560	Anglican		l
Prid, W.	Anglican		l
Bankes, Thomas, 1555 or 6-1631	Anglican		l
Massy, William, d. 1610	Anglican		l
Overton, John, Master of Arts	Anglican		l
Harris, Edward, fl.1587-1590	Anglican		l
Lyster, John, fl. 1588	Anglican		l
Morgan, John, fl. 1588	Anglican		l
Stile, Christopher	Anglican		l
Saintbarb, Richard	Anglican		l
Watts, Thomas, fl. 1571-1589	Anglican		l
Beatniffe, John	Anglican		l
Butterfield, Swithun, d. 1611	Anglican		l
Finch, Richard, minister of East Ham	Anglican		l
Less, Nicholas	Anglican		l
Newnham, John	Anglican		l
R., James (James Rowbotham), attributed name. aut	Anglican		l
Barne, Thomas	Anglican		l
Temple, Robert, Bachelor in Divinity	Anglican		l
Whiting, Giles	Anglican		l
Lewes, Richard	Anglican		l
Fletcher, Anthony	Anglican		l
Smith, John, minister at Reading	Anglican		l
Nun, Thomas, 1556 or 7-1599	Anglican		l
Press, Symon, b. 1558 or 9	Anglican		l
Broxup, William	Anglican		l
Price, Henry, 1566 or 7-1600	Anglican		l
Roche, Robert, 1575 or 6-1629	Anglican		l
Bentley, James	Anglican		l
Bradley, Francis, fl. 1600	Anglican		l
Birkenhead, Michael	Anglican		l
Willoughbie, John	Anglican		l
Rhodes, John, minister of Enborne	Anglican		l

# ── Anglican, Puritan ─────────────────────────────────────────────
Hutton, Matthew, 1529-1606	Anglican	Puritan	m	Archbishop of York; a Calvinist
Stubbes, John, 1543-1591	Anglican	Puritan	h	Lost his right hand for a pamphlet
Gilpin, Bernard, 1517-1583	Anglican	Puritan	h	The Apostle of the North
Wiburn, Perceval, d. 1606	Anglican	Puritan	h
Bentham, Thomas, 1513-1579	Anglican	Puritan	h	Marian exile; Bishop of Coventry
Field, John	Anglican	Puritan	h	The Admonition to the Parliament
Frewen, John, 1558-1628	Anglican	Puritan	h
More, John, d. 1592	Anglican	Puritan	h	The Apostle of Norwich
Holland, Thomas, 1539-1612	Anglican	Puritan	h	King James Bible translator; a Calvinist
Hastings, Francis, Sir, d. 1610	Anglican	Puritan	h	Lay; MP
Wentworth, Peter, ca. 1530-1596	Anglican	Puritan	h	Lay; MP
Bisse, James, 1551 or 2-1607	Anglican	Puritan	m
Woodes, Nathaniel, fl. 1580	Anglican	Puritan	m	The Conflict of Conscience
Waldegrave, Robert, 1554-1604, attributed name. aut	Anglican	Puritan	m	Printed the Marprelate tracts
Renniger, Michael, 1530-1609	Anglican	Puritan	m	Marian exile
Settle, Thomas	Anglican	Puritan	m
Cottesford, Thomas	Anglican	Puritan	m	Marian exile
Dowriche, Anne, fl. 1589	Anglican	Puritan	m
Marten, Anthony, d. 1597	Anglican	Puritan	m
Rosdell, Christopher, b. 1553 or 4	Anglican	Puritan	m
Mayo, John, fl. 1607-1629	Anglican	Puritan	m
Linaker, Robert, 1550 or 51-1618	Anglican	Puritan	m
Cawdry, Robert	Anglican	Puritan	m	Deprived for nonconformity
Deacon, John, fl. 1585-1616	Anglican	Puritan	m
Rhodes, John, fl. 1606	Anglican	Puritan	m
Dod, Henry	Anglican	Puritan	m
Estey, George, 1560 or 61-1601	Anglican	Puritan	m
Holland, Robert, 1557-ca. 1622	Anglican	Puritan	m	Welsh
Travers, Robert, fl. 1561-1572	Anglican	Puritan	l
Chauncie, William	Anglican	Puritan	l
Shakelton, Francis	Anglican	Puritan	l
Baker, John, minister	Anglican	Puritan	l
Hopkinson, William	Anglican	Puritan	l
Lovell, Thomas	Anglican	Puritan	l
Tayler, Francis, preacher	Anglican	Puritan	l
Gybson, Thomas, fl. 1583	Anglican	Puritan	l
Jones, Philip, fl. 1589	Anglican	Puritan	l
Bate, John, M.A.	Anglican	Puritan	l
Humpston, Robert, d. 1606	Anglican	Puritan	l
Deios, Laurence, d. 1618	Anglican	Puritan	l
Pearston, Thomas	Anglican	Puritan	l
Holme, John	Anglican	Puritan	l
Butler, of Oundle	Anglican	Puritan	l
Barker, Lawrence, d. 1603	Anglican	Puritan	l
Leake, Richard	Anglican	Puritan	l
Perneby, William	Anglican	Puritan	l
Gibbons, Nicholas	Anglican	Puritan	l
Golburne, John	Anglican	Puritan	l
Carew, Thomas, Preacher	Anglican	Puritan	l
Manning, James, minister at Wellingborough	Anglican	Puritan	l
Widley, George, b. 1566 or 7	Anglican	Puritan	l
Askew, Egeon, b. 1576	Anglican	Puritan	l

# ── Scotland ──────────────────────────────────────────────────────
Craig, John, 1512?-1600	Presbyterian	Puritan	h	Church of Scotland; the King's Confession
Balnaves, Henry, Sir, d. 1579	Presbyterian	Puritan	h	Lay
Napier, John, 1550-1617	Presbyterian	Puritan	h	Lay
Udal, John, 1560?-1592. Demonstration of the trueth of that discipline	Presbyterian	Puritan	h	A catalogue variant of the same man
Colville, John, 1542?-1605	Presbyterian	Puritan	m
Hume, David, 1560?-1630?	Presbyterian	Puritan	m	Of Godscroft
Fowler, William, 1560?-1612	Presbyterian	Puritan	l
Blake, David, fl. 1600	Presbyterian	Puritan	l
Howesoun, John	Presbyterian	Puritan	l

# ── Congregational ────────────────────────────────────────────────
Harrison, Robert, d. 1585?	Congregational	Puritan	h	With Browne at Norwich and Middelburg

# ── The continent ─────────────────────────────────────────────────
Marnix van St. Aldegonde, Philips van, 1538-1598	Continental Reformed		h
Paleario, Aonio, 1503-1570	Continental Reformed		h	Burned at Rome
Boquin, Pierre, d. 1582	Continental Reformed		h	Heidelberg
Tossanus, Daniel, 1541-1602	Continental Reformed		h	Heidelberg
Loyseleur, Pierre, ca. 1530-1590	Continental Reformed		h	Villiers, chaplain to William the Silent
Hotman, François, 1524-1590	Continental Reformed		h	Huguenot; Francogallia
La Nove, François de, 1531-1591	Continental Reformed		h	Huguenot
Beroald, Matthieu, d. 1576	Continental Reformed		h
Bastingius, Jeremais, 1551-1595. aut	Continental Reformed		h	On the Heidelberg Catechism
Sohn, Georg, 1152?-1589	Continental Reformed		h	Heidelberg
Virel, Matthieu	Continental Reformed		h
Kimedoncius, Jacobus, d. 1596	Continental Reformed		h	Heidelberg
La Faye, Antoine de, 1540-1615	Continental Reformed		h	Geneva
Merlin, Pierre, ca. 1535-1603	Continental Reformed		h	Huguenot
Bèze, Théodore de, 1519-1605. Psalmorum Davidis	Continental Reformed		h	A catalogue variant of the same man
L'Espine, Jean de, ca. 1506-1597. Sommaire des principaux poincts	Continental Reformed		h	A catalogue variant of the same man
Cope, Michael, fl. 1557-1564	Continental Reformed		m
Batt, Barthélemy, 1515-1559	Continental Reformed		m
Wittewronghelus, Jacobus	Continental Reformed		m
Ewich, Johann von, 1525-1588	Continental Reformed		m
Devoyon, Simon	Continental Reformed		m
Wecker, Johann Jacob, 1528-1586	Continental Reformed		m
Coignet, Matthieu, sieur de La Thuillerie, 1514-1586	Continental Reformed		m	Huguenot
Erondelle, Pierre, fl. 1586-1609	Continental Reformed		m	Huguenot in London
Salnar	Continental Reformed		m	The Harmony of Confessions
Constant, Léonard, d. 1610	Continental Reformed		m
Frégeville, Jean de	Continental Reformed		m
Hurault, Michel, d. 1592	Continental Reformed		m	Huguenot
Colynet, Antony	Continental Reformed		m
Wurstisen, Christian, 1544-1588	Continental Reformed		m	Basel
Brucioli, Antonio, 1487-1566	Continental Reformed		m	Italian evangelical
Hainault, Jean de	Continental Reformed		m
Meteren, Emmanuel van, 1535-1612	Continental Reformed		m	Lay
Rennecher, Hermann	Continental Reformed		m
Du Chesne, Joseph, ca. 1544-1609	Continental Reformed		m	Huguenot
Linschoten, Jan Huygen van, 1563-1611	Continental Reformed		l	Lay
Habermann, Johann, 1516-1590	Lutheran		h
Palladius, Peder, 1503-1560	Lutheran		h	Danish
Codomann, Lorenz, 1529-1590. Annales sacræ Scripturæ	Lutheran		m

# ── Rome ──────────────────────────────────────────────────────────
Hide, Thomas, 1524-1597	Roman Catholic		h
Flinton, George	Roman Catholic		h
Burne, Nicol	Roman Catholic		h	Scottish convert
Blackwood, Adam, 1539-1613	Roman Catholic		h	Scottish exile
Geoffrey, of Monmouth, Bishop of St. Asaph, 1100?-1154	Roman Catholic		h
Bartholomaeus, Anglicus, 13th cent	Roman Catholic		h	Franciscan
González de Mendoza, Juan, 1545-1618	Roman Catholic		h	Augustinian
Digby, Everard, Sir, 1578-1606	Roman Catholic		h	Lay; executed for the Gunpowder Plot
Pico della Mirandola, Giovanni, 1463-1494	Roman Catholic		h
Bucke, John	Roman Catholic		h
Lipsius, Justus, 1547-1606	Roman Catholic		h
Lansperger, Johannes Justus, 1489-1539	Roman Catholic		h	Carthusian
Bruno, Vincenzo, 1532-1594	Roman Catholic		h	Jesuit
Ledisma, Jacobus, 1519-1575	Roman Catholic		h	Jesuit
Goślicki, Wawrzyniec, 1530-1607	Roman Catholic		h	Polish bishop
Contarini, Gasparo, 1483-1542	Roman Catholic		h	Cardinal
Hill, Edmund Thomas, ca. 1563-1644	Roman Catholic		h	Benedictine
Bagshaw, Christopher, d. 1625?	Roman Catholic		h	Appellant
Bennett, John, fl. 1588-1623	Roman Catholic		h
Ely, Humphrey, d. 1604	Roman Catholic		h
Charnock, Robert, b. 1561	Roman Catholic		h	Appellant
Acosta, José de, 1540-1600	Roman Catholic		h	Jesuit
Fraser, John, d. 1605	Roman Catholic		h	Scottish Jesuit
Warford, William, 1560-1608	Roman Catholic		h	Jesuit
Alonso, de Madrid	Roman Catholic		h
Clarke, Thomas, seminary priest of the English college at Rhemes	Roman Catholic		h	Recanted at Paul's Cross
Loarte, Gaspar	Roman Catholic		h	A catalogue variant of Gaspar de Loarte
Loarte, Gaspare, d. 1578	Roman Catholic		h	A catalogue variant of the same man
Santillana, Iñigo López de Mendoza, marqués de, 1398-1458	Roman Catholic		m	Lay
Cartigny, Jean de, 1520?-1578	Roman Catholic		m
[Peckham, George], Sir	Roman Catholic		m	Lay
Belloy, Pierre de, ca. 1540-1613	Roman Catholic		m	Lay
Nicolay, Nicolas de, 1517-1583	Roman Catholic		m	Lay
Arcaeus, Franciscus, 1493-1573?	Roman Catholic		m	Lay
Tartaglia, Niccolò, d. 1557	Roman Catholic		m	Lay
Cortés, Martín, 1532-1589	Roman Catholic		m	Lay
Filippe, Bartholomeu	Roman Catholic		m
Fourquevaux, Raimond de Beccarie de Pavy, baron de, 1509-1574	Roman Catholic		m	Lay
Caumont, Jean de	Roman Catholic		m
Florence, of Worcester, d. 1118	Roman Catholic		m	Pre-schism Western church
Huarte, Juan, 1529?-1588	Roman Catholic		m	Lay
Leroy, Lovis, d. 1577	Roman Catholic		m	Lay
Tasso, Torquato, 1544-1595	Roman Catholic		m	Lay
Hurault, Jacques	Roman Catholic		m	Lay
Commynes, Philippe de, ca. 1447-1511	Roman Catholic		m	Lay
Poyntz, Adrian	Roman Catholic		m
Lopes, Duarte	Roman Catholic		m	Lay
Bruto, Giovanni Michele, ca. 1515-1594	Roman Catholic		m	Lay
Gerard, Pierre	Roman Catholic		m
Teixera, José, 1543-1620	Roman Catholic		m
De Vos, M., artist	Roman Catholic		m	Lay
Torquemada, Antonio de, fl. 1553-1570	Roman Catholic		m	Lay
[Pietro da Lucca]	Roman Catholic		m
Affinati, Giacomo	Roman Catholic		m

# ══ Twelfth pass ══════════════════════════════════════════════════

# ── Rome ──────────────────────────────────────────────────────────
Radford, John, 1561-1630	Roman Catholic		h
Blackwell, George, 1546 or 7-1613	Roman Catholic		h	Archpriest
Fitzsimon, Henry, b. 1566	Roman Catholic		h	Jesuit
Gregory I, Pope, ca. 540-604	Roman Catholic		h	Pre-schism Western church
Maihew, Edward, 1570-1625	Roman Catholic		h	Benedictine
Azpilcueta, Martín de, 1492?-1586	Roman Catholic		h
Benoît, de Canfield, 1562-1610	Roman Catholic		h	Capuchin
Leech, Humphrey, 1571-1629	Roman Catholic		h	Left the Church of England for the Jesuits
Tichborne, John, d. 1638	Roman Catholic		h
Bonaventure, Saint, Cardinal, ca. 1217-1274	Roman Catholic		h
Owen, Thomas, 1557-1618	Roman Catholic		h	Jesuit
Puente, Luis de la, 1554-1624	Roman Catholic		h	Jesuit
Warmington, William, b. 1555 or 6	Roman Catholic		h
Walpole, Michael, 1570-1624?	Roman Catholic		h	Jesuit
Michaelis, Sébastien, 1543?-1618	Roman Catholic		h	Dominican
Bruno, Vincenzo, S.J.	Roman Catholic		h	A catalogue variant of the same man
Geninges, John, d. 1660	Roman Catholic		h	Franciscan
Carier, Benjamin, 1566-1614	Roman Catholic		h	A royal chaplain who went over to Rome
Coster, Franciscus, 1532-1619	Roman Catholic		h	Jesuit
Ribadeneyra, Pedro de, 1526-1611	Roman Catholic		h	Jesuit
Véron, François, 1575-1649	Roman Catholic		h	Jesuit
Véron, François, 1575-1649. Adrian Hucher	Roman Catholic		h	A catalogue variant of the same man
Coton, Pierre, 1564-1626	Roman Catholic		h	Jesuit; confessor to Henri IV
Chambers, Sabine, 1560?-1633	Roman Catholic		h	Jesuit
Borja, Francisco de, Saint, 1510-1572	Roman Catholic		h	Jesuit
Marcos, de Lisboa, Bishop of Porto, 1511-1591	Roman Catholic		h	Franciscan
Barclay, William, 1546 or 7-1608	Roman Catholic		h	Lay civilian
Anderton, James, fl. 1624	Roman Catholic		h
Stanney, William	Roman Catholic		h	Franciscan
Sweet, John, 1570-1632	Roman Catholic		h	Jesuit
Villegas, Alfonso de	Roman Catholic		h
Loyer, Pierre le, 1550-1634	Roman Catholic		m	Lay
Numan, Philippe, d. 1617	Roman Catholic		m
Copinger, John, b. 1571 or 2	Roman Catholic		m
Haren, Jean	Roman Catholic		m	Left the Reformed ministry and returned to Rome
Beringer, Joachim	Roman Catholic		m
Worseley, Edw	Roman Catholic		m
Brisset, Georges	Roman Catholic		m
Baynes Roger, 1546-1623	Roman Catholic		m
Griffin, George Augustus	Roman Catholic		m
Berzetti, Nicolas	Roman Catholic		m
Everard, John, b. 1587	Roman Catholic		m	Not the mystic of 1575?-1650?
Fracastoro, Girolamo, 1478-1553	Roman Catholic		m	Lay
Bradwardine, Thomas, 1290?-1349	Roman Catholic		h	Archbishop of Canterbury
Victor, Saint, Bishop of Vita, d. ca. 505	Roman Catholic		m	Pre-schism Western church
Angelus, Christophorus, d. 1638	Eastern Orthodox		h	A Greek refugee in England

# ── The continent ─────────────────────────────────────────────────
Bucanus, Guillaume	Continental Reformed		h	Lausanne
Casmann, Otto, d. 1607	Continental Reformed		m
Vignier, Nicolas	Continental Reformed		m	Huguenot
Tremoille, Charlotte Brabantina, Duchess of, 1580-1631	Continental Reformed		m	Huguenot
Cro, François de	Continental Reformed		m	Huguenot
L'Espine, Jean de, ca. 1506-1597. Traité de l'apostasie	Continental Reformed		h	A catalogue variant of the same man
Appelius, Joannes	Continental Reformed		m
Mayerne, Lovis Turquet de, d. 1618	Continental Reformed		m	Huguenot
Heinsius, Daniel, 1580-1655	Continental Reformed		h	Leiden
Osiander, Lucas, 1571-1638	Lutheran		h
Johann Georg I, Elector of Saxony, 1585-1656	Lutheran		h	Lay
Wirsung, Christof, 1500?-1571	Lutheran		m	Lay
